Depmap ID,Expression Public 23Q2,Cell Line Name,Primary Disease,Lineage,Lineage Subtype
ACH-000054,7.035513944027639,HT1080,Fibrosarcoma,Soft Tissue,Fibrosarcoma
ACH-000055,7.593727245584596,D283MED,Embryonal Tumor,CNS/Brain,Embryonal Tumor
ACH-000056,6.69849632031307,DOHH2,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000057,7.3068819462727,OPM1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000058,8.212617972572628,ML1,Well-Differentiated Thyroid Cancer,Thyroid,Well-Differentiated Thyroid Cancer
ACH-000059,7.731658448751812,SUPB15,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000060,8.908002244642828,PANC1005,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000061,8.421265384230928,HH,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000062,8.16430358309365,RERFLCMS,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000063,8.083479327331842,HS616T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000064,5.839455765224628,SALE,Non-Cancerous,Lung,Non-Cancerous
ACH-000065,8.383661097365113,OCIAML5,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000066,7.345893085687408,HCC4006,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000067,8.600210274420093,HS683,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000068,8.188094263926402,REC1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000069,7.282625134191674,HS611T,Hodgkin Lymphoma,Lymphoid,Hodgkin Lymphoma
ACH-000070,7.855678308595418,697,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000071,8.11660388287422,HS706T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000072,7.072213012239907,MEG01,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000073,8.194215126601796,GRANTA519,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000074,8.49753253300672,KU812,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000075,8.319581808571561,U87MG,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000076,7.278914019499939,NCO2,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000077,8.295401614462854,MJ,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000078,8.095871688952974,MHHNB11,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000079,8.056746082501585,TE125T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000080,7.329572125765376,BDCM,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000081,7.466056062594693,GDM1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000082,7.76460624310965,G292CLONEA141B1,Osteosarcoma,Bone,Osteosarcoma
ACH-000083,8.076013877085277,HS281T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000084,7.352970338245933,MUTZ3,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000085,7.619999829821357,T3M4,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000086,8.974299858003734,ACCMESO1,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000087,7.750338520244706,SKES1,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000088,7.668530470186348,HS172T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000089,7.813011548605618,NCIH684,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000090,7.588039971083829,PC3,Prostate Adenocarcinoma,Prostate,Prostate Adenocarcinoma
ACH-000091,9.428234533413018,OV56,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000092,8.49253420818245,NCIH2452,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000093,9.358519341550474,PANC0504,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000094,8.298154237247633,HPAFII,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000095,7.131136719158451,D341Med,Embryonal Tumor,CNS/Brain,Embryonal Tumor
ACH-000096,8.448405435069198,G401,Rhabdoid Cancer,Kidney,Rhabdoid Cancer
ACH-000097,9.470069068437578,ZR751,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000098,7.730232357371662,GAMG,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000099,7.634012356402116,SIMA,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000100,8.256019934392308,RH41,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma
ACH-000101,7.167418145831737,KE37,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000102,9.099610811960916,GMS10,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000103,8.029784146369549,CAOV4,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000104,7.920948272279038,LOUCY,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000105,7.8875252707415875,ALLSIL,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-000106,8.908542737317342,JVM2,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000107,8.04592343960255,CAPAN2,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000108,8.764009032450154,KP3,Adenosquamous Carcinoma of the Pancreas,Pancreas,Adenosquamous Carcinoma of the Pancreas
ACH-000109,8.743555359498998,NCIH3255,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000110,7.903942082267405,NCCSTCK140,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000111,8.243745234733984,HCC1187,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000112,7.856176498280824,SIGM5,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000113,7.386638529974744,OCIAML2,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000114,7.57228336665041,SU8686,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000115,8.302273349038927,VCAP,Prostate Adenocarcinoma,Prostate,Prostate Adenocarcinoma
ACH-000116,7.777682717073553,OAW28,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000117,8.339360115848175,EFM192A,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000118,7.965322548367254,HUPT3,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000119,8.220378327695228,HS863T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000120,8.010388235311854,CHP212,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000121,7.622783966156123,NCIH2405,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000122,8.135914454809676,SUPT11,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000123,7.609622007822102,COV434,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000124,7.768250501930714,OCILY19,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000125,7.788228924066704,TO175T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000126,8.45733983453304,KG1C,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000127,8.122983254080777,SLR20,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000128,7.854182706501244,LN319,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000129,8.45116989138515,NCIH1341,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000130,8.209112147399319,NALM19,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000131,8.509181180469659,HS229T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000132,8.504739552821627,JHOS2,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000133,8.412061691571136,HS729,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma
ACH-000134,8.209160897801976,HS274T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000135,7.364484887464925,HS940T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000136,7.244696817804489,CHP126,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000137,8.144658242831882,8MGBA,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000138,7.174925682500679,CFPAC1,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000139,7.612352498752662,PANC0327,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000140,7.660922913964558,PFEIFFER,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000141,7.571525130946359,SNU308,Intracholecystic Papillary Neoplasm,Biliary Tract,Intracholecystic Papillary Neoplasm
ACH-000142,7.965784284662087,CAL29,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000143,7.281420068710131,HCC2429,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000144,8.38547417934274,RERFGC1B,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000145,8.600135922110397,SKLMS1,Leiomyosarcoma,Soft Tissue,Leiomyosarcoma
ACH-000146,8.251577088074038,THP1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000147,7.800058621697369,T47D,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000148,7.908752874240136,HS578T,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000149,8.123655851253803,SKNSH,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000150,7.7542862539610224,HCC2935,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000151,6.45022149589718,JM1,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000152,7.695506709992468,M059K,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000153,8.363828131847042,NCIH2052,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000154,8.592344906353024,HS888T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000155,8.742679958154417,SW1990,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000156,8.159719997193214,MHHCALL4,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000157,5.593353770980297,A4FUK,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000158,8.109412799733057,OCILY3,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000159,7.173227395028653,OSRC2,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000160,8.040728080265183,BT12,Embryonal Tumor,CNS/Brain,Embryonal Tumor
ACH-000161,8.632958856759805,CORL105,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000162,6.43512849755131,GA10,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000163,7.785615937088623,SW579,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000164,8.792562567979772,PANC1,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000165,7.984190571892969,HS751T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000166,8.096451624477593,KASUMI6,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000167,7.682222131403511,KE97,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000168,7.40990003278742,NOMO1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000169,8.021923838554759,RD,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma
ACH-000170,5.450881315273369,PRECLH,Non-Cancerous,Prostate,Non-Cancerous
ACH-000171,8.118058579282712,VMRCRCZ,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000172,8.24360244312295,TM87,Embryonal Tumor,CNS/Brain,Embryonal Tumor
ACH-000173,8.087091511654915,JHUEM3,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000174,8.001295589409853,CAL62,Anaplastic Thyroid Cancer,Thyroid,Anaplastic Thyroid Cancer
ACH-000175,8.120963579088091,TE159T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000176,8.450922543966403,LOUNH91,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000177,8.673874381097647,NCIH660,Prostate Small Cell Carcinoma,Prostate,Prostate Small Cell Carcinoma
ACH-000178,8.365272599764532,HS766T,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000179,8.552861187926764,NCIH1618,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000180,8.27658971572526,HS839T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000181,6.605701738949982,SCC9,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000182,7.259366654658847,SNU869,Ampullary Carcinoma,Ampulla of Vater,Ampullary Carcinoma
ACH-000183,8.952391813540128,L363,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000184,7.992201934888206,HS343T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000185,8.147713722352155,HS737T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000186,7.234194722953812,NCIH2444,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000187,8.079698105583953,CORL311,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000188,6.063502942306158,SCC25,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000189,8.483049897871103,RCC10RGB,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000190,8.050447279739654,HDMYZ,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000191,8.134528999487962,BHT101,Anaplastic Thyroid Cancer,Thyroid,Anaplastic Thyroid Cancer
ACH-000192,7.642268351758643,MFE280,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000193,6.513016928174842,KARPAS620,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000194,8.281930026955443,HS934T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000195,7.671788718423228,SET2,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000196,8.534536340846783,HCC1599,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000197,7.337621901992508,TALL1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000198,7.995541049707274,EOL1,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000199,7.833206359970393,HS255T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000200,7.845866357091157,NMCG1,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000201,8.314016703901357,A204,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma
ACH-000202,7.790706885783912,COLO320,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000203,7.635826930435625,NH6,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000204,7.432541900388259,LP1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000205,8.339493737901734,PK59,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000206,7.662988741064152,C8166,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-000207,6.90159099190337,DETROIT562,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000208,7.6649094418288,U178,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000209,8.183436888707675,SNU1079,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct
ACH-000210,7.795909776662576,CADOES1,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000211,7.584511588062105,DAOY,Embryonal Tumor,CNS/Brain,Embryonal Tumor
ACH-000212,7.658639942401795,CAL120,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000213,8.516015147003664,HUPT4,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000214,8.15238625842844,HS675T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000215,8.168421410851925,LN382,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000216,7.255783956990062,JHESOAD1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000217,8.545466488274116,JHH6,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000218,7.278263591814544,PL21,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000219,7.174825838558573,A375,Melanoma,Skin,Melanoma
ACH-000220,7.4121040446775694,MINO,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000221,8.089582893124708,SNU398,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000222,8.78992483126367,ASPC1,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000223,7.706185170563115,HCC1937,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000224,7.620879611355415,HS819T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000225,7.36815720409731,ECC12,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000226,6.799993887663711,SUPM2,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000227,7.648465443027314,KPNYN,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000228,8.744901094441861,BICR31,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000229,7.836302883509772,HS822T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000230,7.307974897113523,HS742T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000231,8.042316016897107,KALS1,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000232,8.61290534726846,U251MG,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000233,6.7805725742630365,DEL,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000234,8.367152617812476,CAKI2,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000235,7.6867106131056175,PANC0403,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000236,8.45359988489147,SW1417,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000237,8.646666705741106,JHOM1,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000238,8.07178411738996,SCC4,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000239,8.169574303776416,HUG1N,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000240,8.10076744956886,HS600T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000241,8.39313300190094,JK1,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000242,8.530367318449972,RT4,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000243,7.736537230487562,DANG,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000244,7.535508677708699,DKMG,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000245,6.56727163085093,BL41,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000247,8.454052482195788,OCUM1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000248,7.708049251702217,AU565,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000249,7.878296196027617,CL11,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000250,8.397631854106743,KMRC20,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000251,7.255878352582786,NCIH2887,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000252,7.314062035319278,LS1034,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000253,7.60991744529631,COLO201,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000254,7.678846582119842,SCC15,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
